date,open,high,low,close,volume,daily_return
2024-01-02,187.15,188.44,183.89,185.64,82488700,
2024-01-03,184.22,185.88,183.43,184.25,58414500,-0.007487610428786873
2024-01-04,182.15,183.09,180.88,181.91,71983600,-0.012700135685210334
2024-01-05,181.99,182.76,180.17,181.18,62379700,-0.004012973448408452
2024-01-08,182.09,185.6,181.5,185.56,59144500,0.024174853736615542
2024-01-09,183.92,185.15,182.73,185.14,42841809,-0.0022634188402673727
2024-01-10,184.35,186.4,183.92,186.19,46792908,0.005671383817651643
2024-01-11,186.54,187.05,183.62,185.59,49128408,-0.0032225146355873147
2024-01-12,186.06,186.74,185.19,185.92,40477800,0.0017781130448837335
