date,open,high,low,close,volume,daily_return,volatility_20,cum_max,drawdown
2024-02-02,179.86,187.33,179.25,185.85,102551700,-0.005405116129722942,0.013295980655446597,195.18,-0.047802028896403385
2024-02-05,188.15,189.25,185.84,187.68,69668820,0.00984665052461664,0.013373383571516665,195.18,-0.0384260682446972
2024-02-06,186.86,189.31,186.77,189.3,43490800,0.008631713554987153,0.012425701221420395,195.18,-0.030126037503842584
2024-02-07,190.64,191.05,188.61,189.41,53439000,0.0005810882197569978,0.012401780061803782,195.18,-0.0295624551695871
2024-02-08,189.39,189.54,187.35,188.32,40962046,-0.005754712000422435,0.01244870108230209,195.18,-0.03514704375448311
2024-02-09,188.65,189.99,188.0,188.85,45155216,0.0028143585386575243,0.012423224873583638,195.18,-0.032431601598524505
2024-02-12,188.42,188.67,186.79,187.15,41781934,-0.009001853322742837,0.012617463484574527,195.18,-0.041141510400655806
2024-02-13,185.77,186.21,183.51,185.04,56529529,-0.011274378840502308,0.012564168739369956,195.18,-0.05195204426683069
2024-02-14,185.32,185.53,182.44,184.15,54630517,-0.00480977086035439,0.012555851290051816,195.18,-0.05651193769853469
2024-02-15,183.55,184.49,181.35,183.86,65434500,-0.0015748031496062298,0.010029265603701765,195.18,-0.05799774567066294
2024-02-16,183.42,184.85,181.67,182.31,49752500,-0.008430327423039286,0.009327874373328592,195.18,-0.06593913310790042
2024-02-20,181.79,182.43,180.0,181.56,53665600,-0.004113871976304084,0.008674812845454852,195.18,-0.06978173993237013
2024-02-21,181.94,182.89,180.66,182.32,41529674,0.004185944040537404,0.008543200461220764,195.18,-0.06588789835024086
2024-02-22,183.48,184.96,182.46,184.37,52292208,0.011243966652040527,0.009146097311695193,195.18,-0.05538477303002358
2024-02-23,185.01,185.04,182.23,182.52,45119700,-0.010034170418180777,0.00929014672655675,195.18,-0.06486320319704886
2024-02-26,182.24,182.76,180.65,181.16,40867421,-0.007451238220469114,0.009243825507757208,195.18,-0.07183113023875402
2024-02-27,181.1,183.92,179.56,182.63,54318900,0.008114374034003058,0.009567355476224785,195.18,-0.06429962086279338
